pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,3.3171163202122956e-4,0.04721861344041574,-0.4231814964563747,-1.8689496712054119,2,94,
GOBP_AMINO_ACID_METABOLIC_PROCESS,3.2278889606197545e-4,0.04721861344041574,-0.3854278025491164,-1.7551132164714607,2,118,
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,3.1344687075540695e-4,0.04721861344041574,-0.35346908492223084,-1.6739577114827164,2,165,
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,2.3526643924244207e-4,0.04721861344041574,-0.4781575835652396,-1.9281635462404034,1,54,
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,1.1363636363636364e-4,0.04721861344041574,-0.4340495762814959,-1.8380874636426194,0,72,
GOBP_LIPID_MODIFICATION,3.5431675918270935e-4,0.04721861344041574,-0.4658830242572778,-1.8717314251133808,2,53,
GOBP_NON_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,2.4792363951902817e-4,0.04721861344041574,-0.5284009312903621,-1.9601842063492243,1,36,
GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS,1.0146103896103897e-4,0.04721861344041574,-0.355929005136397,-1.7619521137539018,0,285,
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,1.0315659170621003e-4,0.04721861344041574,-0.37421997350998326,-1.80356117685057,0,201,
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,2.0130850528434828e-4,0.04721861344041574,-0.3122458188674862,-1.5675263562311472,1,367,
GOBP_ORGANOPHOSPHATE_METABOLIC_PROCESS,2.01450443190975e-4,0.04721861344041574,-0.3242107550659059,-1.6244190888915937,1,353,
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,1.0186411327289395e-4,0.04721861344041574,-0.3646575576914407,-1.789484249254393,0,247,
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,2.0990764063811922e-4,0.04721861344041574,-0.37149768223894325,-1.7498157602449984,1,156,
GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,2.0464545175483476e-4,0.04721861344041574,-0.33259068996615637,-1.6222028657196934,1,228,
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.118178983473651e-4,0.04721861344041574,-0.34668710663279784,-1.6537728487466732,2,178,
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,4.66690001166725e-4,0.0583070820207677,-0.45402023857781915,-1.8579736114608782,3,59,
GOBP_PHOSPHORUS_METABOLIC_PROCESS,5.016051364365971e-4,0.058982862808044566,-0.2909592473580412,-1.4776588712616636,4,472,
GOBP_PYRIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,5.530973451327434e-4,0.06142453294001966,-0.419046639698002,-1.8378973331633102,4,89,
GOBP_CYTOPLASMIC_TRANSLATION,9.649404953361209e-4,0.0931934731934732,-0.37225883434211404,-1.705792386937081,8,124,
GOBP_MONOSACCHARIDE_BIOSYNTHETIC_PROCESS,9.953962921488118e-4,0.0931934731934732,-0.500462567778499,-1.844386512368307,7,35,
GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS,9.018294254058232e-4,0.0931934731934732,-0.5548304312535245,-1.9094603542081154,6,26,
GOBP_ORGANOPHOSPHATE_BIOSYNTHETIC_PROCESS,0.0010256410256410256,0.0931934731934732,-0.31832381829417083,-1.5464781009559092,9,218,
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,0.0013259893920848633,0.11044386644906841,-0.31144381941784066,-1.5258408786869626,12,242,
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.001282736504543025,0.11044386644906841,-0.3636011631805002,-1.6722121880168774,11,128,
GOBP_GLUCOSE_CATABOLIC_PROCESS,0.0013908205841446453,0.11121001390820583,-0.6398061244000104,-1.907449794659257,9,15,
GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS,0.0015010185483006326,0.11540523377126786,-0.366779324067824,-1.6806837634532459,13,124,
GOBP_ARGININE_METABOLIC_PROCESS,0.0016388557806912992,0.11700259662863953,-0.7165687025542564,-1.8892570970268403,10,10,
GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS,0.0015816111345423871,0.11700259662863953,-0.3466810466649252,-1.6251274376529499,14,150,
GOBP_GLUCOSE_METABOLIC_PROCESS,0.0017255262855170826,0.11894231188788441,-0.4104257248285496,-1.7125247847240728,14,66,
GOBP_SMOOTHENED_SIGNALING_PATHWAY,0.0018384952623391316,0.12250506764719749,-0.6437620569434043,-1.8791124744421077,12,14,
GOBP_FEMALE_GAMETE_GENERATION,0.002306472538561338,0.14408245639325357,-0.6684416085341406,-1.8608039027698997,15,12,
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.002258958825341411,0.14408245639325357,-0.312298997711629,-1.5144338544661522,21,213,
GOBP_LIPID_OXIDATION,0.0026586102719033233,0.1506689278311664,-0.4582807594256038,-1.7739541252625985,21,44,
GOBP_PROTEINOGENIC_AMINO_ACID_METABOLIC_PROCESS,0.0027133973996608255,0.1506689278311664,-0.3968611938546582,-1.6919131785904502,23,75,
GOBP_RESPONSE_TO_ZINC_ION,0.0025727826675693974,0.1506689278311664,-0.5854887703531952,-1.8593544890945661,18,19,
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.0026803902648225584,0.1506689278311664,-0.35265603577473814,-1.6172402393004848,24,125,
GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_HOMEOSTASIS,0.0028514098637659733,0.1540531977748157,-0.33708512611412583,-1.5725282177086568,26,144,
GOBP_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,0.0029797377830750892,0.15674989022018693,-0.7025657881396163,-1.8523379497872006,19,10,
GOBP_ATP_METABOLIC_PROCESS,0.003480530780944094,0.1644486631862047,-0.3593775883006504,-1.6167133884147555,31,108,
